RUN	com.gatling.tests.api.ApiTest1	apitest1	1657964801745	Test	3.6.1
USER	Get API Request Demo	START	1657964808584
USER	Get API Request Demo	START	1657964809061
USER	Get API Request Demo	START	1657964809564
USER	Get API Request Demo	START	1657964810060
REQUEST		Get Single User	1657964809079	1657964810174	OK	 
REQUEST		Get Single User	1657964808628	1657964810174	OK	 
USER	Get API Request Demo	START	1657964810561
REQUEST		Get Single User	1657964809567	1657964810924	OK	 
USER	Get API Request Demo	START	1657964811045
USER	Get API Request Demo	END	1657964811464
USER	Get API Request Demo	END	1657964811464
USER	Get API Request Demo	START	1657964811554
USER	Get API Request Demo	END	1657964811937
REQUEST		Get Single User	1657964810061	1657964811946	OK	 
USER	Get API Request Demo	START	1657964812047
REQUEST		Get Single User	1657964810562	1657964812241	OK	 
USER	Get API Request Demo	START	1657964812547
USER	Get API Request Demo	END	1657964812952
USER	Get API Request Demo	START	1657964813045
REQUEST		Get Single User	1657964811046	1657964813124	OK	 
USER	Get API Request Demo	END	1657964813245
USER	Get API Request Demo	END	1657964814138
REQUEST		Get Single User	1657964812551	1657964814337	OK	 
REQUEST		Get Single User	1657964811559	1657964814346	OK	 
REQUEST		Get Single User	1657964812055	1657964814357	OK	 
REQUEST		Get Single User	1657964813047	1657964814364	OK	 
USER	Get API Request Demo	END	1657964815355
USER	Get API Request Demo	END	1657964815359
USER	Get API Request Demo	END	1657964815363
USER	Get API Request Demo	END	1657964815374
